Полный путь;Главный раздел;Раздел 1;Раздел 2;Раздел 3;Наименование;ID;Коллекция;Стиль;Высота;Масса;Материал арматуры;Пылевлагозащита;Диаметр; Количество ламп; Цвет арматуры;Цвет плафона (Декора);Мощность лампы (Max);Цоколь ламп;Общее описание;URL
"Главная; Светотехника; Люстры; Плафон потолочный Murano 602073";Главная; Светотехника; Люстры;None; Плафон потолочный Murano 602073;602073;Murano;Классический; мм180;кг6,95;Металл;IPIP20;мм520; шт7;Белый;Янтарный;Вт40;E14;"КоллекцияMurano; СтильКлассический; Пылевлагозащита, IPIP20; Высота, мм180; Диаметр, мм520; Масса, кг6,95; Количество ламп, шт7; Цвет арматурыБелый; Цвет плафона (Декора)Янтарный; Мощность лампы (Max), Вт40; Цоколь лампE14; Артикул602073; КоллекцияMurano; СтильКлассический; Зона размещенияЖилая / Общественная; Тип люстрыПотолочная; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Коэфф пропускания плафоном света, 0-10,65; Пылевлагозащита, IPIP20; Суммарная мощность LED, Вт42; Суммарная мощность ЛОН, Вт280; Масса, кг6,95; Тип крепления плафона, На арматуру / На лампуНа арматуру; Крепление, На планку / На крюк / ПружинноеДиск; Монтаж, Врезной / НакладнойНакладной; Диаметр, мм520; Высота, мм180; Диаметр основания (отверстия встройки), мм440; Глубина (высота) основания (отверстия встройки), мм20; Цвет арматурыБелый; Цвет плафона (Декора)Янтарный; Материал арматурыМеталл; Материал плафона (Декора)Стекло; Количество ламп, шт7; Цоколь лампE14; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыГЛН / КЛЛ / LED; Типоразмер лампыC / P / T";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-lustru-optom/602073
"Главная; Светотехника; Трековые системы; Трековые светильники; Светильник светодиодный для 3-фазного трека Canno 301592";Главная; Светотехника; Трековые системы; Трековые светильники; Светильник светодиодный для 3-фазного трека Canno 301592;301592;Canno;None; мм195;кг0,606;Металл / Пластик;IPIP20;мм92;None;Серый;Серый;None;None;"КоллекцияCanno; Пылевлагозащита, IPIP20; Высота, мм195; Диаметр, мм92; Масса, кг0,606; Цвет арматурыСерый; Цвет плафона (Декора)Серый; Количество в упаковке10; Артикул301592; КоллекцияCanno; Зона размещенияЖилая / Общественная; Встроенные светодиоды, Да/НетДа; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Пылевлагозащита, IPIP20; Количество фазТрехфазные; Суммарная мощность LED, Вт15; Суммарная мощность ЛОН, Вт150; Цветовая темп., К3000; Световой поток, лм (для лент Лм/м)960; Угол рассеивания рефлектора, °30; Срок службы, ч20000; Масса, кг0,606; Диаметр, мм92; Высота, мм195; Цвет арматурыСерый; Цвет плафона (Декора)Серый; Материал арматурыМеталл / Пластик; Материал плафона (Декора)Металл; Напряжение питания ламп, В220";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-svetilniki/301592
"Главная; Светотехника; Бра; Бра Elegante 708612";Главная; Светотехника; Бра;None; Бра Elegante 708612;708612;Elegante;Классический; мм380;кг1,25;Металл;IPIP20;None; шт1;Золото;None;Вт60;E14;"КоллекцияElegante; СтильКлассический; Пылевлагозащита, IPIP20; Высота, мм380; Масса, кг1,25; Количество ламп, шт1; Цвет арматурыЗолото; Мощность лампы (Max), Вт60; Цоколь лампE14; Артикул708612; КоллекцияElegante; СтильКлассический; Зона размещенияЖилая / Общественная; Количество рожков, шт (если 0 - нет)1; Коэфф пропускания плафоном света, 0-11; Пылевлагозащита, IPIP20; Направление рожков, Вверх/ВнизВверх; Суммарная мощность LED, Вт6; Суммарная мощность ЛОН, Вт60; Масса, кг1,25; Крепление, На планку / На крюк / ПружинноеНа планку; Монтаж, Врезной / НакладнойНакладной; Длина (Глубина), мм240; Высота, мм380; Ширина, мм170; Глубина (высота) основания (отверстия встройки), мм200; Ширина основания (отверстия встройки), мм120; Цвет арматурыЗолото; Цвет подвесокПрозрачный; Цвет рожковЗолото; Цвет чашПрозрачный; Материал арматурыМеталл; Материал подвесокХрусталь; Материал рожковМеталл; Материал чашХрусталь; Количество ламп, шт1; Цоколь лампE14; Мощность лампы (Max), Вт60; Напряжение питания ламп, В220; Тип лампыГЛН / LED / КЛЛ; Типоразмер лампыC / CA";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/708612
"Главная; Светотехника; Бра; Бра Lamella 801616";Главная; Светотехника; Бра;None; Бра Lamella 801616;801616;Lamella;Хай-тек; мм200;кг1,45;Металл;IPIP20;None; шт1;Хром;Белый;Вт40;E14;"КоллекцияLamella; СтильХай-тек; Пылевлагозащита, IPIP20; Высота, мм200; Масса, кг1,45; Количество ламп, шт1; Цвет арматурыХром; Цвет плафона (Декора)Белый; Мощность лампы (Max), Вт40; Цоколь лампE14; Артикул801616; КоллекцияLamella; СтильХай-тек; Зона размещенияЖилая / Общественная; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Коэфф пропускания плафоном света, 0-10,7; Пылевлагозащита, IPIP20; Суммарная мощность LED, Вт6; Суммарная мощность ЛОН, Вт40; Масса, кг1,45; Тип крепления плафона, На арматуру / На лампуНа арматуру; Крепление, На планку / На крюк / ПружинноеНа планку; Монтаж, Врезной / НакладнойНакладной; Длина (Глубина), мм110; Высота, мм200; Ширина, мм290; Глубина (высота) основания (отверстия встройки), мм120; Ширина основания (отверстия встройки), мм200; Цвет арматурыХром; Цвет плафона (Декора)Белый; Цвет подвесокБелый; Материал арматурыМеталл; Материал плафона (Декора)Стекло; Материал подвесокСтекло; Количество ламп, шт1; Цоколь лампE14; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыГЛН / КЛЛ / LED; Типоразмер лампыC / P / T";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/801616
"Главная; Светотехника; Бра; Бра Epsilon 735610";Главная; Светотехника; Бра;None; Бра Epsilon 735610;735610;Epsilon;Модерн; мм210;кг1,405;Металл;IPIP20; Диаметр основания (отверстия встройки), мм120; шт1;Матовый Черный / Матовое золото;None;Вт40;E14;"КоллекцияEpsilon; СтильМодерн; Пылевлагозащита, IPIP20; Высота, мм210; Масса, кг1,405; Количество ламп, шт1; Цвет арматурыМатовый Черный / Матовое золото; Мощность лампы (Max), Вт40; Цоколь лампE14; Артикул735610; КоллекцияEpsilon; СтильМодерн; Зона размещенияЖилая / Общественная; Количество рожков, шт (если 0 - нет)1; Пылевлагозащита, IPIP20; Направление рожков, Вверх/ВнизВверх; Суммарная мощность LED, Вт6; Суммарная мощность ЛОН, Вт40; Масса, кг1,405; Крепление, На планку / На крюк / ПружинноеНа основание; Монтаж, Врезной / НакладнойНакладной; Длина (Глубина), мм220; Высота, мм210; Диаметр основания (отверстия встройки), мм120; Ширина, мм150; Глубина (высота) основания (отверстия встройки), мм25; Цвет арматурыМатовый Черный / Матовое золото; Цвет рожковМатовое золото; Материал арматурыМеталл; Материал рожковМеталл; Количество ламп, шт1; Цоколь лампE14; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыКЛЛ / ГЛН / LED; Типоразмер лампыA / C / P";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/735610
"Главная; Светотехника; Бра; Бра Murano 602523";Главная; Светотехника; Бра;None; Бра Murano 602523;602523;Murano;Классический; мм130;кг1,75;Металл;IPIP20;None; шт2;Золото;Янтарный / Прозрачный / Сахар;Вт40;E14;"КоллекцияMurano; СтильКлассический; Пылевлагозащита, IPIP20; Высота, мм130; Масса, кг1,75; Количество ламп, шт2; Цвет арматурыЗолото; Цвет плафона (Декора)Янтарный / Прозрачный / Сахар; Мощность лампы (Max), Вт40; Цоколь лампE14; Артикул602523; КоллекцияMurano; СтильКлассический; Зона размещенияЖилая / Общественная; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Коэфф пропускания плафоном света, 0-10,7; Пылевлагозащита, IPIP20; Суммарная мощность LED, Вт12; Суммарная мощность ЛОН, Вт80; Масса, кг1,75; Тип крепления плафона, На арматуру / На лампуНа арматуру; Крепление, На планку / На крюк / ПружинноеНа планку; Монтаж, Врезной / НакладнойНакладной; Длина (Глубина), мм90; Высота, мм130; Ширина, мм280; Глубина (высота) основания (отверстия встройки), мм105; Ширина основания (отверстия встройки), мм245; Цвет арматурыЗолото; Цвет плафона (Декора)Янтарный / Прозрачный / Сахар; Материал арматурыМеталл; Материал плафона (Декора)Стекло; Количество ламп, шт2; Цоколь лампE14; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыГЛН / КЛЛ / LED; Типоразмер лампыC / P / T";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/602523
"Главная; Светотехника; Бра; Бра Loft 765603";Главная; Светотехника; Бра;None; Бра Loft 765603;765603;Loft;Хай-тек; Высота min, мм175;кг1,2;Металл;IPIP20; Диаметр основания (отверстия встройки), мм95; шт1;Черный;Розовое золото;Вт40;E14;"КоллекцияLoft; СтильХай-тек; Пылевлагозащита, IPIP20; Масса, кг1,2; Количество ламп, шт1; Цвет арматурыЧерный; Цвет плафона (Декора)Розовое золото; Мощность лампы (Max), Вт40; Цоколь лампE14; Артикул765603; КоллекцияLoft; СтильХай-тек; Зона размещенияЖилая / Общественная; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Пылевлагозащита, IPIP20; Суммарная мощность LED, Вт6; Суммарная мощность ЛОН, Вт40; Масса, кг1,2; Тип крепления плафона, На арматуру / На лампуНа арматуру; Крепление, На планку / На крюк / ПружинноеНа планку; Монтаж, Врезной / НакладнойНакладной; Глубина макс, мм385; Длина (Глубина), мм383; Высота min, мм175; Высота max, мм360; Диаметр основания (отверстия встройки), мм95; Цвет арматурыЧерный; Цвет плафона (Декора)Розовое золото; Материал арматурыМеталл; Материал плафона (Декора)Металл; Количество ламп, шт1; Цоколь лампE14; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыГЛН / КЛЛ / LED; Типоразмер лампыC / P / T";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/765603
"Главная; Светотехника; Бра; Бра Enna 762617";Главная; Светотехника; Бра;None; Бра Enna 762617;762617;Enna;Модерн; мм300;кг1,21;Металл;IPIP20; Диаметр основания (отверстия встройки), мм150; шт1;Черный / Золото;Матовый Белый;Вт40;E14;"КоллекцияEnna; СтильМодерн; Пылевлагозащита, IPIP20; Высота, мм300; Масса, кг1,21; Количество ламп, шт1; Цвет арматурыЧерный / Золото; Цвет плафона (Декора)Матовый Белый; Мощность лампы (Max), Вт40; Цоколь лампE14; Артикул762617; КоллекцияEnna; СтильМодерн; Зона размещенияЖилая / Общественная; Количество рожков, шт (если 0 - нет)1; Коэфф пропускания плафоном света, 0-10,7; Пылевлагозащита, IPIP20; Направление рожков, Вверх/ВнизВверх; Суммарная мощность LED, Вт6; Суммарная мощность ЛОН, Вт40; Масса, кг1,21; Тип крепления плафона, На арматуру / На лампуНа арматуру; Крепление, На планку / На крюк / ПружинноеНа планку; Монтаж, Врезной / НакладнойНакладной; Длина (Глубина), мм220; Высота, мм300; Диаметр основания (отверстия встройки), мм150; Ширина, мм300; Глубина (высота) основания (отверстия встройки), мм30; Цвет арматурыЧерный / Золото; Цвет плафона (Декора)Матовый Белый; Цвет рожковЧерный; Материал арматурыМеталл; Материал плафона (Декора)Стекло; Материал рожковМеталл; Количество ламп, шт1; Цоколь лампE14; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыГЛН / КЛЛ / LED; Типоразмер лампыC / P / T";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/762617
"Главная; Светотехника; Трековые системы; Трековые светильники; Светильник светодиодный для 3-фазного трека Canno 303572";Главная; Светотехника; Трековые системы; Трековые светильники; Светильник светодиодный для 3-фазного трека Canno 303572;303572;Canno;None; мм240;кг0,98;Металл / Пластик;IPIP20;мм92;None;Черный;Черный;None;None;"КоллекцияCanno; Пылевлагозащита, IPIP20; Высота, мм240; Диаметр, мм92; Масса, кг0,98; Цвет арматурыЧерный; Цвет плафона (Декора)Черный; Артикул303572; КоллекцияCanno; Зона размещенияЖилая / Общественная; Встроенные светодиоды, Да/НетДа; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Пылевлагозащита, IPIP20; Количество фазТрехфазные; Суммарная мощность LED, Вт35; Суммарная мощность ЛОН, Вт350; Цветовая темп., К3000; Световой поток, лм (для лент Лм/м)2240; Угол рассеивания рефлектора, °45; Срок службы, ч20000; Масса, кг0,98; Диаметр, мм92; Высота, мм240; Цвет арматурыЧерный; Цвет плафона (Декора)Черный; Материал арматурыМеталл / Пластик; Материал плафона (Декора)Металл; Напряжение питания ламп, В220";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-svetilniki/303572
"Главная; Светотехника; Бра; Бра Murano 602540";Главная; Светотехника; Бра;None; Бра Murano 602540;602540;Murano;Классический; мм180;кг2,95;Металл;IPIP20;None; шт4;Хром;Прозрачный / Сахар;Вт40;E14;"КоллекцияMurano; СтильКлассический; Пылевлагозащита, IPIP20; Высота, мм180; Масса, кг2,95; Количество ламп, шт4; Цвет арматурыХром; Цвет плафона (Декора)Прозрачный / Сахар; Мощность лампы (Max), Вт40; Цоколь лампE14; Артикул602540; КоллекцияMurano; СтильКлассический; Зона размещенияЖилая / Общественная; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Коэфф пропускания плафоном света, 0-10,7; Пылевлагозащита, IPIP20; Суммарная мощность LED, Вт24; Суммарная мощность ЛОН, Вт160; Масса, кг2,95; Тип крепления плафона, На арматуру / На лампуНа арматуру; Крепление, На планку / На крюк / ПружинноеНа планку; Монтаж, Врезной / НакладнойНакладной; Длина (Глубина), мм100; Высота, мм180; Ширина, мм350; Глубина (высота) основания (отверстия встройки), мм170; Ширина основания (отверстия встройки), мм310; Цвет арматурыХром; Цвет плафона (Декора)Прозрачный / Сахар; Материал арматурыМеталл; Материал плафона (Декора)Стекло; Количество ламп, шт4; Цоколь лампE14; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыГЛН / КЛЛ / LED; Типоразмер лампыC / P / T";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/602540
"Главная; Светотехника; Бра; Бра Loft 765607";Главная; Светотехника; Бра;None; Бра Loft 765607;765607;Loft;Хай-тек; Высота min, мм175;кг1,2;Металл;IPIP20; Диаметр основания (отверстия встройки), мм95; шт1;Черный;Черный / Белый;Вт40;E14;"КоллекцияLoft; СтильХай-тек; Пылевлагозащита, IPIP20; Масса, кг1,2; Количество ламп, шт1; Цвет арматурыЧерный; Цвет плафона (Декора)Черный / Белый; Мощность лампы (Max), Вт40; Цоколь лампE14; Артикул765607; КоллекцияLoft; СтильХай-тек; Зона размещенияЖилая / Общественная; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Пылевлагозащита, IPIP20; Наличие выключателяНет; Наличие вилкиНет; Суммарная мощность LED, Вт6; Суммарная мощность ЛОН, Вт40; Масса, кг1,2; Тип крепления плафона, На арматуру / На лампуНа арматуру; Крепление, На планку / На крюк / ПружинноеНа планку; Монтаж, Врезной / НакладнойНакладной; Глубина макс, мм385; Длина (Глубина), мм383; Высота min, мм175; Высота max, мм360; Диаметр основания (отверстия встройки), мм95; Цвет арматурыЧерный; Цвет плафона (Декора)Черный / Белый; Цвет проводаЧерный; Материал арматурыМеталл; Материал плафона (Декора)Металл; Количество ламп, шт1; Цоколь лампE14; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыГЛН / КЛЛ / LED; Типоразмер лампыC / P / T";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/765607
"Главная; Светотехника; Бра; Бра Dumo 816611";Главная; Светотехника; Бра;None; Бра Dumo 816611;816611;Dumo;Арт-деко; мм270;кг0,55;Металл;IPIP20; Диаметр основания (отверстия встройки), мм100; шт1;Золото;Латунь / Золото;Вт40;E14;"КоллекцияDumo; СтильАрт-деко; Пылевлагозащита, IPIP20; Высота, мм270; Масса, кг0,55; Количество ламп, шт1; Цвет арматурыЗолото; Цвет плафона (Декора)Латунь / Золото; Мощность лампы (Max), Вт40; Цоколь лампE14; Артикул816611; КоллекцияDumo; СтильАрт-деко; Зона размещенияЖилая / Общественная; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Количество рожков, шт (если 0 - нет)1; Пылевлагозащита, IPIP20; Направление рожков, Вверх/ВнизВниз; Суммарная мощность LED, Вт6; Суммарная мощность ЛОН, Вт40; Масса, кг0,55; Тип крепления плафона, На арматуру / На лампуНа арматуру; Крепление, На планку / На крюк / ПружинноеНа планку; Монтаж, Врезной / НакладнойНакладной; Длина (Глубина), мм200; Высота, мм270; Диаметр основания (отверстия встройки), мм100; Ширина, мм120; Глубина (высота) основания (отверстия встройки), мм25; Цвет арматурыЗолото; Цвет плафона (Декора)Латунь / Золото; Цвет рожковЗолото; Материал арматурыМеталл; Материал плафона (Декора)Металл; Материал рожковМеталл; Количество ламп, шт1; Цоколь лампE14; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыКЛЛ / ГЛН / LED; Типоразмер лампыC / P / T";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/816611
"Главная; Светотехника; Трековые системы; Трековые светильники; Светильник светодиодный для 3-фазного трека Canno 303574";Главная; Светотехника; Трековые системы; Трековые светильники; Светильник светодиодный для 3-фазного трека Canno 303574;303574;Canno;None; мм240;кг0,98;Металл / Пластик;IPIP20;мм92;None;Черный;Черный;None;None;"КоллекцияCanno; Пылевлагозащита, IPIP20; Высота, мм240; Диаметр, мм92; Масса, кг0,98; Цвет арматурыЧерный; Цвет плафона (Декора)Черный; Артикул303574; КоллекцияCanno; Зона размещенияЖилая / Общественная; Встроенные светодиоды, Да/НетДа; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Пылевлагозащита, IPIP20; Количество фазТрехфазные; Суммарная мощность LED, Вт35; Суммарная мощность ЛОН, Вт350; Цветовая темп., К4000; Световой поток, лм (для лент Лм/м)2240; Угол рассеивания рефлектора, °45; Срок службы, ч20000; Масса, кг0,98; Диаметр, мм92; Высота, мм240; Цвет арматурыЧерный; Цвет плафона (Декора)Черный; Материал арматурыМеталл / Пластик; Материал плафона (Декора)Металл; Напряжение питания ламп, В220";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-svetilniki/303574
"Главная; Светотехника; Бра; Бра Murano 602543";Главная; Светотехника; Бра;None; Бра Murano 602543;602543;Murano;Классический; мм180;кг2,95;Металл;IPIP20;None; шт4;Золото;Янтарный / Прозрачный / Сахар;Вт40;E14;"КоллекцияMurano; СтильКлассический; Пылевлагозащита, IPIP20; Высота, мм180; Масса, кг2,95; Количество ламп, шт4; Цвет арматурыЗолото; Цвет плафона (Декора)Янтарный / Прозрачный / Сахар; Мощность лампы (Max), Вт40; Цоколь лампE14; Артикул602543; КоллекцияMurano; СтильКлассический; Зона размещенияЖилая / Общественная; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Коэфф пропускания плафоном света, 0-10,7; Пылевлагозащита, IPIP20; Суммарная мощность LED, Вт24; Суммарная мощность ЛОН, Вт160; Масса, кг2,95; Тип крепления плафона, На арматуру / На лампуНа арматуру; Крепление, На планку / На крюк / ПружинноеНа планку; Монтаж, Врезной / НакладнойНакладной; Длина (Глубина), мм100; Высота, мм180; Ширина, мм350; Глубина (высота) основания (отверстия встройки), мм170; Ширина основания (отверстия встройки), мм310; Цвет арматурыЗолото; Цвет плафона (Декора)Янтарный / Прозрачный / Сахар; Материал арматурыМеталл; Материал плафона (Декора)Стекло; Количество ламп, шт4; Цоколь лампE14; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыГЛН / КЛЛ / LED; Типоразмер лампыC / P / T";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/602543
"Главная; Светотехника; Бра; Бра Isabelle 791614";Главная; Светотехника; Бра;None; Бра Isabelle 791614;791614;Isabelle;Хай-тек; мм280;кг0,85;Металл;IPIP20;None; шт1;Хром;None;Вт40;G9;"КоллекцияIsabelle; СтильХай-тек; Пылевлагозащита, IPIP20; Высота, мм280; Масса, кг0,85; Количество ламп, шт1; Цвет арматурыХром; Мощность лампы (Max), Вт40; Цоколь лампG9; Артикул791614; КоллекцияIsabelle; СтильХай-тек; Зона размещенияЖилая / Общественная; Количество рожков, шт (если 0 - нет)1; Коэфф пропускания плафоном света, 0-11; Пылевлагозащита, IPIP20; Направление рожков, Вверх/ВнизВверх; Суммарная мощность LED, Вт6; Суммарная мощность ЛОН, Вт40; Масса, кг0,85; Крепление, На планку / На крюк / ПружинноеНа основание; Монтаж, Врезной / НакладнойНакладной; Длина (Глубина), мм90; Высота, мм280; Ширина, мм150; Глубина (высота) основания (отверстия встройки), мм120; Ширина основания (отверстия встройки), мм100; Цвет арматурыХром; Цвет подвесокПрозрачный; Цвет рожковХром; Материал арматурыМеталл; Материал подвесокХрусталь; Материал рожковМеталл; Количество ламп, шт1; Цоколь лампG9; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыГЛН / LED; Типоразмер лампыJC / T";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/791614
"Главная; Светотехника; Бра; Бра Dumo 816616";Главная; Светотехника; Бра;None; Бра Dumo 816616;816616;Dumo;Арт-деко; мм270;кг0,55;Металл;IPIP20; Диаметр основания (отверстия встройки), мм100; шт1;Золото;Матовый Белый / Золото;Вт40;E14;"КоллекцияDumo; СтильАрт-деко; Пылевлагозащита, IPIP20; Высота, мм270; Масса, кг0,55; Количество ламп, шт1; Цвет арматурыЗолото; Цвет плафона (Декора)Матовый Белый / Золото; Мощность лампы (Max), Вт40; Цоколь лампE14; Артикул816616; КоллекцияDumo; СтильАрт-деко; Зона размещенияЖилая / Общественная; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Количество рожков, шт (если 0 - нет)1; Пылевлагозащита, IPIP20; Направление рожков, Вверх/ВнизВниз; Суммарная мощность LED, Вт6; Суммарная мощность ЛОН, Вт40; Масса, кг0,55; Тип крепления плафона, На арматуру / На лампуНа арматуру; Крепление, На планку / На крюк / ПружинноеНа планку; Монтаж, Врезной / НакладнойНакладной; Длина (Глубина), мм200; Высота, мм270; Диаметр основания (отверстия встройки), мм100; Ширина, мм120; Глубина (высота) основания (отверстия встройки), мм25; Цвет арматурыЗолото; Цвет плафона (Декора)Матовый Белый / Золото; Цвет рожковЗолото; Материал арматурыМеталл; Материал плафона (Декора)Металл; Материал рожковМеталл; Количество ламп, шт1; Цоколь лампE14; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыКЛЛ / ГЛН / LED; Типоразмер лампыC / P / T";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/816616
"Главная; Светотехника; Бра; Бра Murano 602623";Главная; Светотехника; Бра;None; Бра Murano 602623;602623;Murano;Классический; мм240;кг2,1;Металл;IPIP20;None; шт2;Золото;Янтарный / Прозрачный / Сахар;Вт40;E14;"КоллекцияMurano; СтильКлассический; Пылевлагозащита, IPIP20; Высота, мм240; Масса, кг2,1; Количество ламп, шт2; Цвет арматурыЗолото; Цвет плафона (Декора)Янтарный / Прозрачный / Сахар; Мощность лампы (Max), Вт40; Цоколь лампE14; Артикул602623; КоллекцияMurano; СтильКлассический; Зона размещенияЖилая / Общественная; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Коэфф пропускания плафоном света, 0-10,7; Пылевлагозащита, IPIP20; Суммарная мощность LED, Вт12; Суммарная мощность ЛОН, Вт80; Масса, кг2,1; Тип крепления плафона, На арматуру / На лампуНа арматуру; Крепление, На планку / На крюк / ПружинноеНа планку; Монтаж, Врезной / НакладнойНакладной; Длина (Глубина), мм90; Высота, мм240; Ширина, мм220; Глубина (высота) основания (отверстия встройки), мм195; Ширина основания (отверстия встройки), мм180; Цвет арматурыЗолото; Цвет плафона (Декора)Янтарный / Прозрачный / Сахар; Материал арматурыМеталл; Материал плафона (Декора)Стекло; Количество ламп, шт2; Цоколь лампE14; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыГЛН / КЛЛ / LED; Типоразмер лампыC / P / T";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/602623
"Главная; Светотехника; Бра; Бра Lamella 801626";Главная; Светотехника; Бра;None; Бра Lamella 801626;801626;Lamella;Хай-тек; мм200;кг2,5;Металл;IPIP20;None; шт2;Хром;Белый;Вт40;E14;"КоллекцияLamella; СтильХай-тек; Пылевлагозащита, IPIP20; Высота, мм200; Масса, кг2,5; Количество ламп, шт2; Цвет арматурыХром; Цвет плафона (Декора)Белый; Мощность лампы (Max), Вт40; Цоколь лампE14; Артикул801626; КоллекцияLamella; СтильХай-тек; Зона размещенияЖилая / Общественная; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Коэфф пропускания плафоном света, 0-10,7; Пылевлагозащита, IPIP20; Суммарная мощность LED, Вт12; Суммарная мощность ЛОН, Вт80; Масса, кг2,5; Тип крепления плафона, На арматуру / На лампуНа арматуру; Крепление, На планку / На крюк / ПружинноеНа планку; Монтаж, Врезной / НакладнойНакладной; Длина (Глубина), мм200; Высота, мм200; Ширина, мм420; Глубина (высота) основания (отверстия встройки), мм140; Ширина основания (отверстия встройки), мм310; Цвет арматурыХром; Цвет плафона (Декора)Белый; Цвет подвесокБелый; Материал арматурыМеталл; Материал плафона (Декора)Стекло; Материал подвесокСтекло; Количество ламп, шт2; Цоколь лампE14; Мощность лампы (Max), Вт40; Напряжение питания ламп, В220; Тип лампыГЛН / КЛЛ / LED; Типоразмер лампыC / P / T";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-bra-optom/801626
"Главная; Светотехника; Трековые системы; Трековые светильники; Светильник светодиодный для 3-фазного трека Canno 303592";Главная; Светотехника; Трековые системы; Трековые светильники; Светильник светодиодный для 3-фазного трека Canno 303592;303592;Canno;None; мм240;кг0,976;Металл / Пластик;IPIP20;мм92;None;Серый;Серый;None;None;"КоллекцияCanno; Пылевлагозащита, IPIP20; Высота, мм240; Диаметр, мм92; Масса, кг0,976; Цвет арматурыСерый; Цвет плафона (Декора)Серый; Артикул303592; КоллекцияCanno; Зона размещенияЖилая / Общественная; Встроенные светодиоды, Да/НетДа; Количество плафонов (декор элем встройки), шт (если 0 - нет)1; Пылевлагозащита, IPIP20; Количество фазТрехфазные; Суммарная мощность LED, Вт35; Суммарная мощность ЛОН, Вт350; Цветовая темп., К3000; Световой поток, лм (для лент Лм/м)2240; Угол рассеивания рефлектора, °45; Срок службы, ч20000; Масса, кг0,976; Диаметр, мм92; Высота, мм240; Цвет арматурыСерый; Цвет плафона (Декора)Серый; Материал арматурыМеталл / Пластик; Материал плафона (Декора)Металл; Напряжение питания ламп, В220";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-svetilniki/303592
